district,avg_income,pop_total,pop_male,pop_female,pop_western,pop_non_western,home_owners,renters,libraries,culture_houses,sports_halls,schools,safety_neighborhood,safety_evening,crime_per1000,total_crimes,pct_non_western,pct_renters,total_facilities,facilities_per_1000,schools_per_1000,has_vulnerable_zone
Amager Vest,440468,67639,33552,34087,15155,8884,46243,16348,5,4,4,3,90,85,51,4647,13.1,26.1,13,0.19,0.04,1
Amager Øst,425147,51817,25365,26452,7577,4548,34060,8869,0,0,4,9,85,77,44,2749,8.8,20.7,4,0.08,0.17,0
Bispebjerg,361680,43285,21452,21833,6581,5864,31031,8562,1,4,3,5,80,74,49,2742,13.5,21.6,8,0.18,0.12,1
Brønshøj-Husum,392116,34439,17062,17377,3577,7060,21577,3119,3,5,3,6,81,71,45,1999,20.5,12.6,11,0.32,0.17,1
Indre By,581974,46695,22885,23810,8541,2130,30733,13032,3,5,1,5,91,85,253,11102,4.6,29.8,9,0.19,0.11,0
Nørrebro,375472,66193,31455,34738,8467,5235,42367,10988,2,4,4,4,88,79,49,3956,7.9,20.6,10,0.15,0.06,1
Valby,418442,52072,25828,26244,7297,7022,33842,10939,2,3,5,6,88,81,44,2957,13.5,24.4,10,0.19,0.12,0
Vanløse,435360,35505,17388,18117,3056,2242,20934,5788,1,2,2,4,89,79,42,1734,6.3,21.7,5,0.14,0.11,0
Vesterbro/Kongens Enghave,459533,65794,32929,32865,12843,6288,43279,13658,1,1,4,7,91,83,88,7806,9.6,24.0,6,0.09,0.11,0
Østerbro,511847,69128,33357,35771,9135,3890,44611,13847,2,1,8,9,91,83,67,3413,5.6,23.7,11,0.16,0.13,0
